CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
2, comb, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.857294+(3.75846e-05*x))+0.013547157868742943" 
2, comb, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.857294+(3.75846e-05*x))+0.01491188071668148" 
2, comb, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.857294+(3.75846e-05*x))+0.019157662987709045" 
2, comb, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.857294+(3.75846e-05*x))+0.021716726943850517" 
2, comb, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.857294+(3.75846e-05*x))+0.046845909208059311" 
2, comb, up, 0, -2.4, 2.4, 300, 670, 0, 1, "(0.857294+(3.75846e-05*x))+0.042299006134271622" 
0, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.05636+0.000920353*x+-7.85916e-07*x*x+1.92221e-11*x*x*x" 
0, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(1.05636+0.000920353*x+-7.85916e-07*x*x+1.92221e-11*x*x*x)*(1-(0.0539991+-6.29073e-06*x+-3.39895e-09*x*x))" 
0, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(1.05636+0.000920353*x+-7.85916e-07*x*x+1.92221e-11*x*x*x)*(1+(0.0539991+-6.29073e-06*x+-3.39895e-09*x*x))" 
1, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "0.980777+-0.00109334*x+4.2909e-06*x*x+-2.78512e-09*x*x*x" 
1, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(0.980777+-0.00109334*x+4.2909e-06*x*x+-2.78512e-09*x*x*x)*(1-(0.0672836+0.000102309*x+-1.01558e-07*x*x))" 
1, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(0.980777+-0.00109334*x+4.2909e-06*x*x+-2.78512e-09*x*x*x)*(1+(0.0672836+0.000102309*x+-1.01558e-07*x*x))" 
2, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "0.688619+260.84/(x*x)" 
2, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(0.688619+260.84/(x*x))*(1-(0.144982+0.000116685*x+-1.0021e-07*x*x))" 
2, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(0.688619+260.84/(x*x))*(1+(0.144982+0.000116685*x+-1.0021e-07*x*x))" 
