DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
2, comb, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))-0.072311915457248688" 
2, comb, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))-0.11711089313030243" 
2, comb, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))-0.13307270407676697" 
2, comb, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))-0.027967298403382301" 
2, comb, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))-0.016817433759570122" 
2, comb, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))-0.014025868847966194" 
2, comb, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))-0.014029864221811295" 
2, comb, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))-0.01382093783468008" 
2, comb, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))-0.01559704914689064" 
2, comb, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))-0.020660547539591789" 
2, comb, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))-0.033460255712270737" 
2, comb, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))-0.038020770996809006" 
2, comb, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))+0.097885541617870331" 
2, comb, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))+0.058861017227172852" 
2, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))+0.049090541899204254" 
2, comb, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))+0.04910452663898468" 
2, comb, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))+0.048373281955718994" 
2, comb, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))+0.05458967387676239" 
2, comb, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))+0.072311915457248688" 
2, comb, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))+0.11711089313030243" 
2, comb, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))+0.13307270407676697" 
2, comb, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))+0.027967298403382301" 
2, comb, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))+0.016817433759570122" 
2, comb, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))+0.014025868847966194" 
2, comb, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))+0.014029864221811295" 
2, comb, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))+0.01382093783468008" 
2, comb, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))+0.01559704914689064" 
2, comb, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))+0.020660547539591789" 
2, comb, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))+0.033460255712270737" 
2, comb, up, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.506673*((1.+(0.464958*x))/(1.+(0.239689*x))))+0.038020770996809006" 
0, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.06765+0.000317422*x+-4.61732e-07*x*x+2.03608e-10*x*x*x" 
0, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(1.06765+0.000317422*x+-4.61732e-07*x*x+2.03608e-10*x*x*x)*(1-(0.0849411+5.63903e-05*x+-8.53443e-08*x*x))" 
0, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(1.06765+0.000317422*x+-4.61732e-07*x*x+2.03608e-10*x*x*x)*(1+(0.0849411+5.63903e-05*x+-8.53443e-08*x*x))" 
1, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.03216+0.000504744*x+2.12276e-08*x*x+-2.27663e-10*x*x*x" 
1, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(1.03216+0.000504744*x+2.12276e-08*x*x+-2.27663e-10*x*x*x)*(1-(0.08654+7.51946e-06*x+-2.06793e-09*x*x))" 
1, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(1.03216+0.000504744*x+2.12276e-08*x*x+-2.27663e-10*x*x*x)*(1+(0.08654+7.51946e-06*x+-2.06793e-09*x*x))" 
2, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.00762+51.6984/(x*x)+0.000370519*x" 
2, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(1.00762+51.6984/(x*x)+0.000370519*x)*(1-(0.301074+-0.000311873*x+2.63746e-07*x*x))" 
2, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(1.00762+51.6984/(x*x)+0.000370519*x)*(1+(0.301074+-0.000311873*x+2.63746e-07*x*x))" 
